<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.01	1.37550	1.37648	1.37372	1.37580	2671	0	4
2014.01.02	1.37581	1.37749	1.36294	1.36643	58177	0	1
2014.01.03	1.36643	1.36716	1.35821	1.35874	38433	0	1
2014.01.06	1.35955	1.36528	1.35712	1.36334	40642	0	1
2014.01.07	1.36334	1.36562	1.35966	1.36138	38225	0	1
2014.01.08	1.36142	1.36349	1.35533	1.35749	41559	0	1
2014.01.09	1.35746	1.36328	1.35484	1.36017	41634	0	1
2014.01.10	1.36016	1.36871	1.35721	1.36665	38148	0	1
2014.01.13	1.36662	1.36846	1.36373	1.36680	38040	0	1
2014.01.14	1.36680	1.36992	1.36490	1.36722	38446	0	1
2014.01.15	1.36728	1.36760	1.35812	1.36042	38011	0	1
2014.01.16	1.36043	1.36492	1.35830	1.36162	39055	0	1
2014.01.17	1.36163	1.36208	1.35168	1.35405	35641	0	1
2014.01.20	1.35325	1.35677	1.35074	1.35557	29493	0	1
2014.01.21	1.35557	1.35687	1.35162	1.35591	37867	0	1
2014.01.22	1.35588	1.35832	1.35344	1.35447	37004	0	1
2014.01.23	1.35451	1.36981	1.35303	1.36931	47468	0	1
2014.01.24	1.36930	1.37393	1.36627	1.36752	46994	0	1
2014.01.27	1.36800	1.37163	1.36529	1.36728	43910	0	1
2014.01.28	1.36730	1.36882	1.36290	1.36517	38227	0	1
2014.01.29	1.36519	1.36845	1.36029	1.36608	47676	0	1
2014.01.30	1.36609	1.36642	1.35434	1.35565	45145	0	1
2014.01.31	1.35567	1.35733	1.34790	1.34849	47059	0	1
2014.02.03	1.34855	1.35353	1.34770	1.35258	43781	0	1
2014.02.04	1.35260	1.35384	1.34934	1.35143	40329	0	1
2014.02.05	1.35147	1.35552	1.34986	1.35361	47210	0	1
2014.02.06	1.35361	1.36188	1.34841	1.35898	48216	0	1
2014.02.07	1.35898	1.36425	1.35516	1.36342	44538	0	1
2014.02.10	1.36232	1.36513	1.36179	1.36442	27636	0	1
2014.02.11	1.36441	1.36827	1.36291	1.36372	33489	0	1
